City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
370,Kibaya,TZ,-5.3,36.5667,58.46,83,83,3.53,broken clouds
371,Olden,NO,61.8364,6.8064,38.16,94,100,6.73,overcast clouds
372,Las Palmas,ES,28.4204,-14.0131,61.59,82,100,4.61,overcast clouds
373,Pisco,PE,-13.7,-76.2167,64.45,82,0,13.8,clear sky
374,Arandis,NA,-22.4167,14.9667,53.47,81,0,2.82,clear sky
375,Ilave,PE,-16.0833,-69.6667,50.09,66,100,4.0,overcast clouds
376,Mirabad,AF,30.4362,61.8383,53.87,21,0,2.62,clear sky
377,Bitam,GA,2.076,11.5007,68.29,99,82,2.46,broken clouds
378,Jiuquan,CN,39.7432,98.5174,25.11,42,0,1.77,clear sky
379,Lamu,KE,-2.2717,40.902,80.82,79,17,6.26,few clouds
380,Champerico,GT,14.3,-91.9167,83.35,78,25,6.15,scattered clouds
381,Bizhbulyak,RU,53.6967,54.2642,28.76,95,100,16.33,light snow
382,Thunder Bay,CA,48.4001,-89.3168,21.56,63,40,14.97,scattered clouds
383,Jalu,LY,29.0331,21.5482,61.47,58,8,6.49,clear sky
384,Stepnoye,RU,51.4,46.8667,42.76,90,100,19.86,overcast clouds
385,Puerto Ayacucho,VE,5.6639,-67.6236,74.86,89,96,1.59,overcast clouds
386,Lixourion,GR,38.2019,20.4314,61.3,72,8,7.2,clear sky
387,Oktyabrskoye,RU,43.0645,44.7417,24.94,100,0,4.47,clear sky
388,Rockland,US,41.1668,-74.0496,52.65,74,100,3.42,overcast clouds
389,Bitkine,TD,11.9801,18.2138,78.35,19,100,6.76,overcast clouds
390,Inhambane,MZ,-23.865,35.3833,73.58,73,100,8.16,overcast clouds
391,Tucuma,BR,-0.1833,-50.05,77.45,91,99,6.62,overcast clouds
392,Syriam,MM,16.7722,96.2378,80.71,89,14,5.75,few clouds
393,Tilbury,GB,51.4625,0.3586,41.38,92,7,12.93,clear sky
394,Calvia,ES,39.5657,2.5062,55.96,79,81,6.62,broken clouds
395,Atkarsk,RU,51.8718,45.0078,40.51,96,100,24.07,overcast clouds
396,Samagaltay,RU,50.6022,95.0047,2.43,73,100,0.56,overcast clouds
397,Deogarh,IN,21.5333,84.7333,71.37,85,15,1.43,few clouds
398,Zheleznodorozhnyy,RU,55.7503,38.0042,34.21,92,31,9.4,scattered clouds
399,Goose Creek,US,32.981,-80.0326,62.89,87,75,6.91,broken clouds
400,Sisimiut,GL,66.9395,-53.6735,20.62,83,99,11.32,overcast clouds
401,Vengerovo,RU,55.6848,76.7471,18.97,89,100,14.94,overcast clouds
402,Emba,KZ,48.8264,58.1442,32.65,82,100,24.72,overcast clouds
403,Camacha,PT,33.0833,-16.3333,65.53,88,75,16.11,broken clouds
404,Chegem,RU,43.2833,43.1333,14.13,36,0,10.8,clear sky
405,Iroquois Falls,CA,48.7669,-80.6831,32.14,98,100,9.33,snow
406,Diego De Almagro,CL,-26.3667,-70.05,66.69,31,100,2.37,overcast clouds
407,Norrkoping,SE,58.5942,16.1826,25.57,81,21,3.44,few clouds
408,Kyotera,UG,-0.6156,31.5175,63.59,90,100,3.53,light rain
