City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Henties Bay,NA,2021-11-21 01:00:46,-22.116,14.2845,59.86,95,64,7.16
67,Trinidad,BO,2021-11-21 01:00:46,-14.8333,-64.9,74.82,81,46,2.19
68,Georgetown,MY,2021-11-21 01:00:24,5.4112,100.3354,80.89,87,20,0.0
69,Torbay,CA,2021-11-21 01:00:46,47.6666,-52.7314,37.76,86,11,1.01
70,Hami,CN,2021-11-21 01:00:46,42.8,93.45,25.57,43,0,5.35
71,Longyearbyen,SJ,2021-11-21 01:00:47,78.2186,15.6401,8.44,66,40,12.66
72,Nouadhibou,MR,2021-11-21 01:00:47,20.931,-17.0347,68.81,82,100,14.74
73,Humaita,BR,2021-11-21 01:00:47,-7.5061,-63.0208,74.53,95,99,2.84
74,Jalu,LY,2021-11-21 01:00:47,29.0331,21.5482,60.24,63,0,8.52
75,Dutse,NG,2021-11-21 01:00:48,11.7594,9.3392,72.32,20,0,5.21
76,Kutum,SD,2021-11-21 01:00:48,14.2,24.6667,60.78,33,0,7.02
77,Tobermory,CA,2021-11-21 01:00:48,45.2501,-81.6665,40.3,78,100,18.19
78,Cascais,PT,2021-11-21 01:00:08,38.6979,-9.4215,57.47,77,67,8.01
79,Ferrol,ES,2021-11-21 01:00:48,43.4832,-8.2369,54.72,89,21,3.58
80,Kukmor,RU,2021-11-21 01:00:49,56.1855,50.8944,32.25,99,100,10.22
81,Shieli,KZ,2021-11-21 01:00:49,44.1667,66.75,32.68,48,100,10.94
82,Pangody,RU,2021-11-21 01:00:49,65.85,74.4859,3.9,94,100,17.83
83,Perpignan,FR,2021-11-21 01:00:49,42.75,2.75,49.24,93,0,1.14
84,Palasa,IN,2021-11-21 00:58:20,18.7667,84.4167,75.54,89,9,4.97
85,San Carlos De Bariloche,AR,2021-11-21 01:00:50,-41.1456,-71.3082,54.03,75,93,9.01
86,Saint George,US,2021-11-21 01:00:50,37.1041,-113.5841,63.07,33,1,16.11
